AF7,label
34.668,relaxed
23.926,relaxed
14.648,relaxed
15.137,relaxed
19.531,relaxed
13.184,relaxed
16.602,relaxed
15.625,relaxed
16.113,relaxed
20.996,relaxed
27.832,relaxed
20.996,relaxed
28.32,relaxed
22.461,relaxed
22.461,relaxed
19.531,relaxed
19.531,relaxed
18.555,relaxed
26.855,relaxed
21.484,relaxed
17.09,relaxed
19.043,relaxed
23.926,relaxed
14.16,relaxed
21.973,relaxed
16.113,relaxed
17.09,relaxed
24.414,relaxed
27.344,relaxed
20.508,relaxed
25.879,relaxed
24.414,relaxed
20.508,relaxed
19.531,relaxed
13.672,relaxed
28.32,relaxed
26.855,relaxed
19.043,relaxed
18.066,relaxed
14.648,relaxed
20.996,relaxed
23.438,relaxed
29.785,relaxed
27.832,relaxed
17.09,relaxed
21.484,relaxed
19.531,relaxed
23.438,relaxed
23.438,relaxed
19.531,relaxed
24.414,relaxed
21.973,relaxed
16.602,relaxed
19.043,relaxed
24.414,relaxed
18.066,relaxed
21.973,relaxed
13.672,relaxed
17.578,relaxed
14.648,relaxed
24.902,relaxed
20.996,relaxed
21.484,relaxed
16.602,relaxed
19.043,relaxed
18.066,relaxed
23.926,relaxed
22.949,relaxed
17.09,relaxed
15.625,relaxed
10.254,relaxed
20.02,relaxed
19.531,relaxed
16.602,relaxed
19.043,relaxed
10.254,relaxed
14.648,relaxed
21.484,relaxed
15.137,relaxed
20.02,relaxed
17.09,relaxed
23.438,relaxed
15.625,relaxed
24.414,relaxed
15.137,relaxed
22.949,relaxed
21.973,relaxed
13.184,relaxed
14.16,relaxed
24.902,relaxed
15.625,relaxed
13.672,relaxed
21.484,relaxed
22.461,relaxed
24.902,relaxed
16.602,relaxed
12.207,relaxed
6.348,relaxed
3.418,relaxed
6.348,relaxed
9.277,relaxed
21.484,relaxed
20.996,relaxed
24.902,relaxed
21.973,relaxed
23.926,relaxed
3.906,relaxed
23.438,relaxed
27.832,relaxed
18.066,relaxed
24.902,relaxed
23.438,relaxed
17.578,relaxed
21.484,relaxed
20.996,relaxed
20.508,relaxed
11.719,relaxed
19.043,relaxed
20.508,relaxed
15.625,relaxed
20.508,relaxed
19.531,relaxed
20.02,relaxed
19.043,relaxed
12.695,relaxed
20.996,relaxed
35.645,relaxed
